Index,Date,Open,High,Low,Close,Adj Close,Volume
NYA,8815.0,6968.830078,6968.830078,6968.830078,6968.830078,6968.830078,1880700000.0
NYA,8816.0,6894.810059,6894.810059,6894.810059,6894.810059,6894.810059,2169400000.0
NYA,8817.0,6774.060059,6774.060059,6774.060059,6774.060059,6774.060059,1430800000.0
NYA,8818.0,6759.049805,6759.049805,6759.049805,6759.049805,6759.049805,1115500000.0
NYA,8819.0,6754.819824,6754.819824,6754.819824,6754.819824,6754.819824,1191300000.0
NYA,8820.0,6802.399902,6802.399902,6802.399902,6802.399902,6802.399902,1296500000.0
NYA,8821.0,6835.490234,6835.490234,6835.490234,6835.490234,6835.490234,1411200000.0
NYA,8822.0,6813.290039,6813.290039,6813.290039,6813.290039,6813.290039,1276000000.0
NYA,8823.0,6874.830078,6874.830078,6874.830078,6874.830078,6874.830078,1205700000.0
NYA,8824.0,6852.410156,6852.410156,6852.410156,6852.410156,6852.410156,1349100000.0
NYA,8825.0,6889.0,6889.0,6889.0,6889.0,6889.0,1445000000.0
NYA,8826.0,6836.660156,6836.660156,6836.660156,6836.660156,6836.660156,1407800000.0
NYA,8827.0,6853.790039,6853.790039,6853.790039,6853.790039,6853.790039,1164000000.0
NYA,8828.0,6928.120117,6928.120117,6928.120117,6928.120117,6928.120117,1232600000.0
NYA,8829.0,6939.120117,6939.120117,6939.120117,6939.120117,6939.120117,1309000000.0
NYA,8830.0,6961.430176,6961.430176,6961.430176,6961.430176,6961.430176,1258000000.0
NYA,8831.0,6931.189941,6931.189941,6931.189941,6931.189941,6931.189941,1084500000.0
NYA,8832.0,6959.419922,6959.419922,6959.419922,6959.419922,6959.419922,1053100000.0
NYA,8833.0,7022.970215,7022.970215,7022.970215,7022.970215,7022.970215,1149800000.0
NYA,8834.0,7017.149902,7017.149902,7017.149902,7017.149902,7017.149902,1295300000.0
NYA,8835.0,7048.129883,7048.129883,7048.129883,7048.129883,7048.129883,1118800000.0
NYA,8836.0,6980.990234,6980.990234,6980.990234,6980.990234,6980.990234,1048400000.0
